hs4,market_growth_5y,total_trade,market_size_share,ecu_total_trade,ecu_export_growth_5y,ecu_market_share_2020,ecu_market_share_2024,market_share_change_abs,distance_travelled,eff_num_exp,ecu_exporter_rank,accessible_market_size,accessible_market_growth_5y,raw_rca_trade,market_size,accessible_market_size_share,accessible_market_to_market_ratio,above_median_cagr,above_median_accessible_market_growth,above_median_export_cagr,dai_index,dai_percentile,dai_lead,alignment_weighted_percentile,alignment_lead_unweighted,alignment_lead_weighted
2617,0.2522866980767309,1063580956.0,5.2091582656589026e-05,172334.0,0.0,0.0,0.0001620318594722,0.0001620318594722,7516.88,8.026373576697987,56.0,125985773.0,0.4720400718901791,0.0976986300691035,1063580956.0,2.758159467799241e-05,0.1184543332496449,True,True,False,1.4600135232599296,51.61290322580645,3.225806451612897,51.61290322580645,3.225806451612897,3.225806451612897
2618,0.0550323021471779,883909955.0,4.3291738369433896e-05,0.0,0.0,0.0,0.0,0.0,6092.74,8.939766275220547,63.0,314314542.0,0.0141445071678574,0.0,883909955.0,6.881170859540482e-05,0.3555956579310163,True,False,False,0.6700078138642696,6.451612903225806,-25.806451612903224,6.451612903225806,-25.806451612903224,-25.806451612903224
2619,0.1144496008044857,456449660.0,2.2355783128991975e-05,1566307.0,0.0,0.0,0.003431499981838,0.003431499981838,4531.59,17.974709733260358,39.0,4170607.0,0.314002271428722,2.069055112985726,456449660.0,9.130554117026998e-07,0.00913705796166,True,True,False,0.6363846578550427,19.35483870967742,-29.03225806451613,19.35483870967742,-29.03225806451613,-29.03225806451613
2620,0.0164224403134907,6385826333.0,0.0003127620877184,1836827.0,0.0991106169184541,0.0001945428885268,0.0002876412392406,9.309835071380797e-05,5169.18,14.910320851742364,76.0,1561761635.0,-0.0738780608127813,0.1734359842361782,6385826333.0,0.0003419106409753,0.2445668819600202,False,False,True,0.6239721425889105,9.67741935483871,-45.16129032258064,9.67741935483871,-45.16129032258064,-45.16129032258064
2621,-0.0511045731068749,379248163.0,1.8574643442820396e-05,579096.0,0.0719393290947896,0.0008299803694548,0.0015269579565504,0.0006969775870955,3770.06,11.476550355516174,37.0,5616355.0,-0.0485145133350295,0.9206936278701876,379248163.0,1.2295676209226898e-06,0.0148091818179749,False,False,True,0.5413568042366573,9.67741935483871,-70.96774193548387,9.67741935483871,-70.96774193548387,-70.96774193548387
2701,0.141843400504144,151459436531.0,0.0074181111580329,33793.0,0.84445968309296,2.028697569143085e-08,2.2311584391166946e-07,2.028288682202386e-07,7059.15,5.241481716493083,84.0,6758592648.0,0.0872870190124106,0.0001345297916587,151459436531.0,0.0014796334425062,0.0446231202412844,True,True,True,0.8725821432590329,41.935483870967744,-45.16129032258064,41.935483870967744,-45.16129032258064,-45.16129032258064
2702,0.2327972118293972,8049659997.0,0.0003942525735588,32277.0,0.0,0.0,4.009734574134709e-06,4.009734574134709e-06,4363.45,1.4227683723774358,39.0,2243607.0,-0.030835824258937,0.0024177070861836,8049659997.0,4.911844997824199e-07,0.0002787207162583,True,False,False,1.8751110996860747,74.19354838709677,-6.451612903225808,74.19354838709677,-6.451612903225808,-6.451612903225808
2703,0.0231712705398317,1684736041.0,8.25142329215286e-05,15831.0,0.0,0.0,9.39672424328459e-06,9.39672424328459e-06,2511.24,7.16768990381507,68.0,34815522.0,0.0916527493721146,0.0056658430551617,1684736041.0,7.622032182210983e-06,0.0206652681207762,False,True,False,1.103255339415111,25.806451612903224,-64.51612903225805,25.806451612903224,-64.51612903225805,-64.51612903225805
2704,0.1181062349118913,9163590431.0,0.0004488101499699,0.0,0.0,0.0,0.0,0.0,5211.5,7.904873450848639,75.0,1653743175.0,0.1723109694303493,0.0,9163590431.0,0.0003620478159414,0.1804689098069533,True,True,False,0.4833588537977373,6.451612903225806,-61.29032258064515,6.451612903225806,-61.29032258064515,-61.29032258064515
2705,-0.2240258272955839,5017015.0,2.457210709608146e-07,0.0,0.0,0.0,0.0,0.0,1743.46,5.596577830626929,,133908.0,-0.0476688460438887,0.0,5017015.0,2.9315978242564003e-08,0.0266907713052482,False,False,False,0.98716532061469,41.935483870967744,-22.58064516129032,41.935483870967744,-22.58064516129032,-22.58064516129032
2706,0.1202666040368818,693652792.0,3.397340987124797e-05,0.0,0.0,0.0,0.0,0.0,2373.46,10.686164470091946,50.0,147729.0,-0.0671675305662252,0.0,693652792.0,3.234175814585938e-08,0.0002129725443388,True,False,False,0.8778582697529806,35.483870967741936,-6.451612903225808,35.483870967741936,-6.451612903225808,-6.451612903225808
2707,0.1079655466909259,29337209060.0,0.0014368644361686,9194.0,0.211485920429268,2.0050496272789885e-07,3.1339041083276106e-07,1.1288544810486221e-07,3382.13,17.118562938884544,93.0,192986221.0,0.0781638594917886,0.0001889616888608,29337209060.0,4.224975248641342e-05,0.0065782065569123,True,True,True,0.8607827431928022,29.03225806451613,-38.70967741935483,29.03225806451613,-38.70967741935483,-38.70967741935483
2708,0.0692468836217328,1353574170.0,6.629473794224168e-05,0.0,0.0,0.0,0.0,0.0,5155.29,6.287300745318785,,359874417.0,0.0739749963927833,0.0,1353574170.0,7.878596184565079e-05,0.2658697432147364,True,True,False,0.7169576673611887,25.806451612903224,-22.580645161290327,25.806451612903224,-22.580645161290327,-22.580645161290327
2709,0.1413242946938901,1019682568845.0,0.0499415474852413,11129839242.0,0.196203485559876,0.0086306576156035,0.0109150039257872,0.0022843463101836,5608.63,14.22851197212272,20.0,811019248419.0,0.1671132753308595,6.581304036263577,1019682568845.0,0.1775534145902561,0.795364433205567,True,True,True,1.69034237525953,73.33333333333333,13.333333333333329,73.33333333333333,13.333333333333329,13.333333333333329
2710,0.1480305182695285,723727529549.0,0.0354463966411511,792460688.0,0.1022458153154772,0.0013420772249396,0.0010949710431684,-0.0002471061817712,4091.76,18.413267902096077,63.0,120324596618.0,0.1138886808618824,0.6602230649657379,723727529549.0,0.0263422144793334,0.1662567633609043,True,True,True,1.4835448587866278,96.7741935483871,19.354838709677423,96.7741935483871,19.354838709677423,19.354838709677423
2711,0.1503337928662773,352415595709.0,0.0172604502081235,0.0,0.0,2.5026386945025867e-05,0.0,-2.5026386945025867e-05,4216.46,13.17623424847875,122.0,14181828643.0,0.0737574785534529,0.0,352415595709.0,0.0031047747702748,0.0402417736776619,True,True,False,0.9088448598271192,9.67741935483871,-64.51612903225806,9.67741935483871,-64.51612903225806,-64.51612903225806
2712,0.0676850348067399,3728442606.0,0.0001826099603374,5415.0,0.0,0.0,1.4523490294006152e-06,1.4523490294006152e-06,5575.2,11.090035129892057,96.0,1200488000.0,0.0659485370236423,0.0008757074751641,3728442606.0,0.0002628183535596,0.3219810861693602,True,True,False,0.8176876912385777,25.806451612903224,-38.70967741935484,25.806451612903224,-38.70967741935484,-38.70967741935484
2713,0.1048973605038769,22147429296.0,0.001084726684222,26981.0,0.0,0.0,1.218245225637676e-06,1.218245225637676e-06,4679.13,13.5689118435778,97.0,1597488032.0,0.1064983785190361,0.0007345523900093,22147429296.0,0.0003497320876188,0.0721297271412226,True,True,False,0.8631451100653424,12.903225806451612,-22.580645161290324,12.903225806451612,-22.580645161290324,-22.580645161290324
2714,-0.1593142285410773,378146111.0,1.8520667642928524e-05,208031.0,0.2999897757275866,6.222103351038904e-05,0.0005501339137135,0.0004879128802031,2949.94,11.37736354712127,47.0,34577702.0,-0.0332868618608913,0.3317084053680291,378146111.0,7.569967137959359e-06,0.0914400571476457,False,False,True,0.6518859554954134,16.129032258064516,-22.580645161290324,16.129032258064516,-22.580645161290324,-22.580645161290324
2715,0.0723831328305524,1952825909.0,9.564461612323387e-05,268280.0,0.0983680238384563,0.000121880783238,0.0001373803976911,1.5499614453086497e-05,9304.0,5.86318950715761,69.0,440399719.0,0.0996191264926029,0.082834799875076,1952825909.0,9.64150654198054e-05,0.2255191909172892,True,True,True,1.6092909545102598,74.19354838709677,12.903225806451609,74.19354838709677,12.903225806451609,12.903225806451609
2716,0.1472217237798998,53057818664.0,0.002598641627534,2288141.0,-0.4714700095012,0.0020778874731533,4.312542538716382e-05,-0.0020347620477662,658.08,23.888292789014336,77.0,0.0,0.0,0.0260028798977875,53057818664.0,0.0,0.0,True,False,False,0.4768660492977836,6.451612903225806,-41.935483870967744,6.451612903225806,-41.935483870967744,-41.935483870967744
2801,0.12284664978718,2739102057.0,0.0001341544904523,0.0,0.0,0.0,0.0,0.0,8532.07,3.8913321087732218,95.0,597908648.0,0.1570783762790639,0.0,2739102057.0,0.0001308979068898,0.2182863710652895,True,True,False,1.0371291923047985,48.38709677419355,-6.451612903225801,48.38709677419355,-6.451612903225801,-6.451612903225801
2802,0.313195662226531,444440703.0,2.1767613913798805e-05,0.0,0.0,0.0,0.0,0.0,6650.14,2.011669667122469,50.0,79912971.0,0.197958268740231,0.0,444440703.0,1.7495048235614363e-05,0.1798056983993205,True,True,False,1.1330335275704233,64.51612903225806,3.225806451612904,64.51612903225806,3.225806451612904,3.225806451612904
2803,0.1260343233844274,6306967369.0,0.0003088997693699,3758.0,-0.0314031819996447,1.2652581558369938e-06,5.958489683126185e-07,-6.694091875243753e-07,3592.26,13.801064189986366,86.0,201944185.0,0.1958514443866883,0.0003592727264984,6306967369.0,4.421088608352242e-05,0.0320192214712566,True,True,False,0.6751074595345166,9.67741935483871,-51.61290322580645,9.67741935483871,-51.61290322580645,-51.61290322580645
2804,0.0703179839586114,11416407632.0,0.0005591476026801,396733.0,-0.2234949029487339,0.0001729065392725,3.4751124240515384e-05,-0.000138155415032,5425.79,12.00011836115628,85.0,1410082330.0,0.1149030753313959,0.0209535164424877,11416407632.0,0.0003087040573117,0.1235136634441435,True,True,False,0.7533403238470807,6.451612903225806,-45.16129032258064,6.451612903225806,-45.16129032258064,-45.16129032258064
2805,0.0635919675833036,935750310.0,4.583075161726928e-05,0.0,0.0,0.0,0.0,0.0,5045.2,5.5184795087742735,70.0,108866150.0,0.0452599852849282,0.0,935750310.0,2.3833659562921627e-05,0.1163410247761499,True,False,False,0.7687360023071844,35.483870967741936,-38.70967741935483,35.483870967741936,-38.70967741935483,-38.70967741935483
2806,0.0950417855467387,412477661.0,2.0202142630295467e-05,0.0,0.0,0.0,0.0,0.0,2208.5,14.289542124970874,92.0,6485095.0,0.1088966539563482,0.0,412477661.0,1.4197576240475596e-06,0.0157222938674489,True,True,False,0.8100818865169458,16.129032258064516,-29.032258064516125,16.129032258064516,-29.032258064516125,-29.032258064516125
2807,0.0917900576422532,1452524810.0,7.114109722820317e-05,0.0,0.0,0.0,0.0,0.0,5782.62,17.45231448652855,84.0,1032015580.0,0.1643440277960755,0.0,1452524810.0,0.0002259353159577,0.7104977298115823,True,True,False,1.8459635851389768,96.7741935483871,19.354838709677423,96.7741935483871,19.354838709677423,19.354838709677423
2808,0.0959169258224654,384827641.0,1.8847912569893426e-05,0.0,0.0,3.713969926784758e-05,0.0,-3.713969926784758e-05,2292.87,6.531040851071241,78.0,6309026.0,0.1109183479094673,0.0,384827641.0,1.3812114955624056e-06,0.0163944200671385,True,True,False,0.7544914859709585,6.451612903225806,-58.064516129032256,6.451612903225806,-58.064516129032256,-58.064516129032256
2809,0.0984478675377165,5229691587.0,0.0002561374477756,31891.0,0.147742626064262,4.896285733174009e-06,6.098065147718242e-06,1.2017794145442324e-06,5287.77,5.742941202314367,64.0,883086524.0,0.0986467242902555,0.0036768856010449,5229691587.0,0.0001933308340344,0.1688601534735207,True,True,True,0.5114396769129522,12.903225806451612,-77.41935483870967,12.903225806451612,-77.41935483870967,-77.41935483870967
2810,0.0735450320418453,568251100.0,2.7831543032392953e-05,0.0,0.0,0.0,0.0,0.0,7620.72,5.027241055280568,71.0,142051416.0,0.1492055643569989,0.0,568251100.0,3.109878588868035e-05,0.2499800105974278,True,True,False,1.1014658678848177,64.51612903225806,-22.58064516129032,64.51612903225806,-22.58064516129032,-22.58064516129032
2811,0.0553989229046536,5802602031.0,0.000284197194032,1253098.0,0.204257876920723,0.0001116472437094,0.0002159544965009,0.0001043072527915,4154.58,10.578844206232748,70.0,336706668.0,0.0888072722109565,0.1302117900400542,5802602031.0,7.371393309745662e-05,0.058026841441334,True,True,True,0.8284032088596592,9.67741935483871,-61.29032258064516,9.67741935483871,-61.29032258064516,-61.29032258064516
2812,0.0276563883948932,844006750.0,4.13373774063176e-05,0.0,0.0,1.620071401095883e-06,0.0,-1.620071401095883e-06,4432.39,6.278820750453356,62.0,14249545.0,0.0417700321269145,0.0,844006750.0,3.119599659366406e-06,0.0168832121307086,False,False,False,0.6401764585705995,25.806451612903224,-45.16129032258065,25.806451612903224,-45.16129032258065,-45.16129032258065
2813,0.0272014545723833,202252027.0,9.905807472856985e-06,0.0,0.0,0.0,0.0,0.0,3705.44,8.613450347455359,42.0,20626027.0,-0.0883291012716154,0.0,202252027.0,4.515579045034932e-06,0.1019818060958172,False,False,False,1.2018666445718484,70.96774193548387,-16.129032258064512,70.96774193548387,-16.129032258064512,-16.129032258064512
2814,0.0300047478457552,6278062140.0,0.000307484062256,0.0,0.0,0.0,0.0,0.0,4088.84,12.583257954734592,89.0,347841277.0,0.0510117441937287,0.0,6278062140.0,7.615159145381664e-05,0.0554058353108304,False,False,False,0.7479997944251168,6.451612903225806,-51.612903225806456,6.451612903225806,-51.612903225806456,-51.612903225806456
2815,0.0734221681254763,6371765630.0,0.000312073429024,0.0,0.0,0.0,0.0,0.0,4619.91,11.137226084437614,116.0,1168162109.0,0.0638511211323129,0.0,6371765630.0,0.0002557413669924,0.1833341301035895,True,True,False,0.7221445863085898,22.58064516129032,-58.064516129032256,22.58064516129032,-58.064516129032256,-58.064516129032256
2816,0.055544404115811,273163595.0,1.3378881887119374e-05,0.0,0.0,0.0,0.0,0.0,4731.62,9.714070268462322,51.0,14732215.0,0.063099834603036,0.0,273163595.0,3.225268799509925e-06,0.0539318389040823,True,True,False,1.0579289704189396,74.19354838709677,6.451612903225808,74.19354838709677,6.451612903225808,6.451612903225808
2817,0.0304804067513559,1435842428.0,7.032403513625857e-05,1118182.0,0.9870146036995336,2.9214544064383405e-05,0.0007787637265723,0.0007495491825079,3894.96,15.764913779276958,39.0,141516899.0,0.0621518208064217,0.4695628963428652,1435842428.0,3.098176607849514e-05,0.0985601875528364,False,True,True,0.976029850931612,54.83870967741935,-38.70967741935484,54.83870967741935,-38.70967741935484,-38.70967741935484
2818,0.1185554954591965,19829496542.0,0.000971200031675,39441.0,0.65558062441604,2.8000915650957924e-07,1.9890066253806152e-06,1.708997468871036e-06,7025.42,6.5556824735126265,67.0,3710202329.0,0.0887390716958946,0.0011992902083018,19829496542.0,0.0008122607368676,0.1871052208078798,True,True,True,0.8813301669037817,54.83870967741935,-29.032258064516135,54.83870967741935,-29.032258064516135,-29.032258064516135
2819,0.0721753606708557,465351374.0,2.2791767214641883e-05,0.0,0.0,0.0,0.0,0.0,6051.74,4.542666165617465,59.0,73302098.0,0.0254959037065598,0.0,465351374.0,1.604775450385559e-05,0.1575198916249466,True,False,False,0.8419181253130755,38.70967741935484,-35.48387096774193,38.70967741935484,-35.48387096774193,-35.48387096774193
2820,0.028180546309261,399257100.0,1.9554632027352725e-05,0.0,0.0,0.0,0.0,0.0,5355.42,9.438636570862016,65.0,55744221.0,0.0365381722725184,0.0,399257100.0,1.2203874077610594e-05,0.1396198614877481,False,False,False,0.7617842677813924,16.129032258064516,-51.61290322580645,16.129032258064516,-51.61290322580645,-51.61290322580645
2821,0.0123375062285788,900379571.0,4.40983797053345e-05,23470.0,0.1717550399300009,1.254671239923852e-05,2.6066784227382253e-05,1.3520071828143732e-05,6344.89,5.588232572088009,72.0,342564411.0,0.0375719461322043,0.0157172121434403,900379571.0,7.499634689154309e-05,0.3804666632090878,False,False,True,1.0614702177605424,74.19354838709677,16.129032258064505,74.19354838709677,16.129032258064505,16.129032258064505
2822,-0.2160050713043773,582829163.0,2.8545540748743057e-05,0.0,0.0,0.0,0.0,0.0,7703.83,5.850379084017701,50.0,51573218.0,-0.0055270535877138,0.0,582829163.0,1.1290731971107106e-05,0.0884877100770607,False,False,False,0.4900903374395134,6.451612903225806,-67.74193548387096,6.451612903225806,-67.74193548387096,-67.74193548387096
2823,-0.0247124397170104,567508814.0,2.779518768745593e-05,0.0,0.0,5.7249882214820005e-06,0.0,-5.7249882214820005e-06,6019.41,9.24407494747746,79.0,177914016.0,0.0369730795710485,0.0,567508814.0,3.8950050946195774e-05,0.313500004953227,False,False,False,0.8088270790473363,19.35483870967742,-41.935483870967744,19.35483870967742,-41.935483870967744,-41.935483870967744
2824,0.0216765907613114,138359939.0,6.776529946422917e-06,0.0,0.0,0.0,0.0,0.0,4538.09,12.990924351577782,57.0,11224672.0,0.0139343731382011,0.0,138359939.0,2.4573755125303744e-06,0.0811266041393672,False,False,False,0.8849257349835319,41.935483870967744,-38.70967741935483,41.935483870967744,-38.70967741935483,-38.70967741935483
2825,0.1557347899120968,7695291973.0,0.0003768964982089,3018.0,-0.0212404973178501,9.003370204236893e-07,3.921878481789998e-07,-5.081491722446895e-07,5158.9,3.777086693129696,89.0,966075281.0,0.1151472446256258,0.000236473343092,7695291973.0,0.0002114992526098,0.1255410820524561,True,True,False,0.6858995718896564,16.129032258064516,-54.83870967741936,16.129032258064516,-54.83870967741936,-54.83870967741936
2826,0.0296817810037519,1460112287.0,7.151271321387005e-05,0.0,0.0,1.250938288935882e-06,0.0,-1.250938288935882e-06,6392.78,6.599132451902629,75.0,349446062.0,0.0809930432000887,0.0,1460112287.0,7.65029210393828e-05,0.2393282113377627,False,True,False,0.7411825842409151,45.16129032258064,-16.12903225806452,45.16129032258064,-16.12903225806452,-16.12903225806452
2827,0.0615756821404351,3306622560.0,0.0001619502506383,146665.0,0.2235008703884946,2.1810983847314347e-05,4.435492631490423e-05,2.254394246758989e-05,5030.92,11.204769599102114,80.0,685238844.0,0.0922994218054094,0.0267442190189957,3306622560.0,0.0001500167804885,0.2072322533237661,True,True,True,0.877655913664517,9.67741935483871,-51.61290322580645,9.67741935483871,-51.61290322580645,-51.61290322580645
